Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/07/2024,"39,784.67",AUD,Environmental & Laboratory,42 Finsbury Street Newmarket QLD 4051,NO,NO,,,,,,,,,4502818168,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,9/07/2024,"36,846.81",AUD,Syngineering Technology Pty Ltd,37 Trade Street Lytton QLD 4178,NO,NO,,,,,,,,,4502818550,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,4/07/2024,"36,608.00",AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4050493568,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,9/07/2024,"36,421.00",AUD,Thompson's Grader Hire,PO Box 110 Inglewood QLD 4387,NO,NO,,,,,,,,,4502818461,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/07/2024,"35,612.61",AUD,Downer EDI Rail,71B Elizabeth Street Wetherill Park NSW 2164,NO,NO,,,,,,,,,4502820158,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,4/07/2024,"35,242.63",AUD,Haz-Elec Industries Pty Ltd,PO Box 12466 Portsmith QLD 4870,NO,NO,,,,,,,,,4502817923,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/07/2024,"34,699.23",AUD,Environmental & Laboratory,42 Finsbury Street Newmarket QLD 4051,NO,NO,,,,,,,,,4502818180,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4064",QITC - 2024 Nearmap Subscription NGCS CRR,28/06/2024,"34,424.93",AUD,Nearmap Australia Pty Ltd,100 Barangaoo Sydney NSW 2000,NO,NO,,,,,,,,,CW2319085,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4063",Business Advisory and Expert Services,28/06/2024,"34,217.68",AUD,SAP Australia Pty Ltd,168 Walker Street North Sydney NSW 2060,NO,NO,,,,,,,,,CW2318895,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,5/07/2024,"33,792.00",AUD,Locate And Detection Specialists Pt,4 Palmerston Drive Oxenford QLD 4210,NO,NO,,,,,,,,,4502818030,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BLDG WORKS CONTRACT,18/07/2024,"33,462.00",AUD,Peto's Constructions Pty Ltd,7 Bluebird Drive Strathdickie QLD 4800,NO,NO,,,,,,,,,4502821922,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ADVERTISING & GRAP,30/07/2024,"33,000.00",AUD,EssenceMediacom Australia P/L,65 Berry Street North Sydney QLD 2060,NO,NO,,,,,,,,,4502823410,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,4/07/2024,"32,340.00",AUD,Rayner's Crane & Plant Hire,PO Box 397 Longreach QLD 4730,NO,NO,,,,,,,,,4502817880,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/11/2023,"31,861.45",AUD,Alstom Transport Australia Pty Ltd,16 Giffnock Avenue MacQuarie Park NSW 2113,YES,NO,,,,,,,,,4502734014,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,12/07/2024,"31,790.00",AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4050494050,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHTING & LAMPS,17/07/2024,"31,746.33",AUD,Power Rail Australia P/L,12-16 Oxley Street Goulburn NSW 2580,NO,NO,,,,,,,,,4502821829,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,1/07/2024,"30,974.90",AUD,BFB Scaffolding,PO Box 6538 Rockhampton QLD 4701,NO,NO,,,,,,,,,4502817283,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4092",TC's - 2024 FAID Corporate Licence and Quantum Roster,1/07/2024,"30,916.50",AUD,InterDynamics Pty Ltd,320 Adelaide Street Brisbane QLD 4000,NO,NO,,,,,,,,,CW2318670,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,10/07/2024,"30,863.11",AUD,Altus Traffic Pty Ltd,3 Thomas Holt Drive Macquarie Park VIC 2113,NO,NO,,,,,,,,,4502818653,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,10/04/2024,"30,051.91",AUD,UGL Engineering Pty Ltd,49 Borthwick Avenue Murarrie QLD 4172,YES,NO,,,,,,,,,4502785817,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,8/07/2024,"29,326.00",AUD,Thompson's Grader Hire,PO Box 110 Inglewood QLD 4387,NO,NO,,,,,,,,,4502818271,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/07/2024,"28,187.39",AUD,Genelite Pty Ltd,24 Perrin Place Salisbury QLD 4107,NO,NO,,,,,,,,,4502822261,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,16/07/2024,"28,072.00",AUD,Oliver Transport Pty Ltd,73 Phillips Street Cloncurry QLD 4824,NO,NO,,,,,,,,,4502819679,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/06/2024,"27,699.08",AUD,Fluid Precision Pty Ltd,85 Kabi Circuit Deception Bay QLD 4508,YES,NO,,,,,,,,,4502808412,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,1/07/2024,"27,500.00",AUD,Boltmasters Pty Ltd,457 Lytton Road Morningside QLD 4170,NO,NO,,,,,,,,,4502817109,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,25/07/2024,"27,500.00",AUD,Dellacorda Specialist Services Pty,42 Douglas Street Milton QLD 4064,NO,NO,,,,,,,,,4502822806,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,25/07/2024,"27,500.00",AUD,Dellacorda Specialist Services Pty,42 Douglas Street Milton QLD 4064,NO,NO,,,,,,,,,4502822807,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,25/07/2024,"27,500.00",AUD,Dellacorda Specialist Services Pty,42 Douglas Street Milton QLD 4064,NO,NO,,,,,,,,,4502822809,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,25/07/2024,"27,500.00",AUD,Dellacorda Specialist Services Pty,42 Douglas Street Milton QLD 4064,NO,NO,,,,,,,,,4502822810,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FOOD AND BEVERAGES,31/07/2024,"27,500.00",AUD,Licks Dessert Co.,2/18 Hollingsworth Street Bungalow QLD 4870,NO,NO,,,,,,,,,4502827919,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,5/07/2024,"27,500.00",AUD,Murray Views Pty Ltd,PO Box 21 Gympie QLD 4570,NO,NO,,,,,,,,,4502818105,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,25/07/2024,"27,500.00",AUD,Dellacorda Specialist Services Pty,42 Douglas Street Milton QLD 4064,NO,NO,,,,,,,,,4502822808,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,1/07/2024,"27,467.00",AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,4502817197,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,2/07/2024,"27,390.00",AUD,ENVIREX Group Pty Ltd,#N/A,NO,NO,,,,,,,,,4502817524,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,29/07/2024,"27,390.00",AUD,Hanby Welding & Engineering Pty Ltd,PO Box 401 Portsmith QLD 4870,NO,NO,,,,,,,,,4502823140,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,26/07/2024,"27,386.15",AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,4502822945,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,19/07/2024,"27,225.00",AUD,SJP Access Pty Ltd,50-54 Sanctuary Drive Mount Cotton QLD 4165,NO,NO,,,,,,,,,4502822057,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/07/2024,"27,225.00",AUD,Bassett Furniture Pty Ltd,55A Moxon Road Punchbowl NSW 2196,NO,NO,,,,,,,,,4502822402,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,23/07/2024,"27,182.10",AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502822425,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,31/07/2024,"27,164.50",AUD,Construction Sciences Pty Ltd,PO Box 253 Acacia Ridge QLD 4110,NO,NO,,,,,,,,,4502827887,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/07/2024,"27,152.95",AUD,Mariart Design Studio,#N/A,NO,NO,,,,,,,,,4502819493,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Vegetation Management services,23/07/2024,"26,950.00",AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,4502822518,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Vegetation Management services,23/07/2024,"26,950.00",AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,4502822488,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,22/07/2024,"26,950.00",AUD,Rapid Capture,37 Florence Street Wynnum QLD 4175,NO,NO,,,,,,,,,4502822229,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,26/07/2024,"26,901.60",AUD,The MathWorks Australia Pty Ltd,495 Victoria Avenue Chatswood NSW 2067,NO,NO,,,,,,,,,4502823027,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,9/07/2024,"26,815.80",AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502818380,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,3/07/2024,"26,798.68",AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,4502817752,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,2/07/2024,"26,680.50",AUD,Greg Sewell Forgings Pty Ltd,PO Box 199 Campbellfield VIC 3061,NO,NO,,,,,,,,,4502817336,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,16/07/2024,"26,626.60",AUD,Western Downs Traffic Control,PO Box 157 Dalby QLD 4405,NO,NO,,,,,,,,,4502819808,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,4/07/2024,"26,400.00",AUD,Origin Fencing Pty Ltd,PO Box 7157 Hemmant QLD 4174,NO,NO,,,,,,,,,4502817956,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,2/07/2024,"26,180.00",AUD,Danny Forbes Transport P/L,PO Box 1430 Roma QLD 4455,NO,NO,,,,,,,,,4502817396,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",4/07/2024,"26,096.84",AUD,Whordleys Bulk Haulage Pty Ltd,PO Box 698 Kybong QLD 4570,NO,NO,,,,,,,,,4502817922,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,11/07/2024,"25,659.15",AUD,L & D Earthmoving Ltd,PO Box 247 Kallangur QLD 4503,NO,NO,,,,,,,,,4502819044,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,3/07/2024,"25,465.21",AUD,Traffic Management Australia P/L,35/28 Burnside Road Ormeau QLD 4208,NO,NO,,,,,,,,,4502817649,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,1/07/2024,"25,432.00",AUD,Wongabel Quarries N Concrete,PO Box 1336 Atherton QLD 4883,NO,NO,,,,,,,,,4502817151,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/07/2024,"25,410.00",AUD,Westray Engineering,9-11 Deadman Road Moorebank NSW 2170,NO,NO,,,,,,,,,4502822579,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,10/07/2024,"25,336.30",AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4050493906,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,1/07/2024,"25,080.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502817190,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,26/04/2024,"24,571.70",AUD,Lovells Springs Pty Ltd,PO Box 213 Carrington NSW 2294,YES,NO,,,,,,,,,4502788022,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,3/07/2024,"24,420.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502817701,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,5/07/2024,"24,055.42",AUD,Downer EDI Rail,71B Elizabeth Street Wetherill Park NSW 2164,NO,NO,,,,,,,,,4502818107,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,1/07/2024,"23,848.00",AUD,Wongabel Quarries N Concrete,PO Box 1336 Atherton QLD 4883,NO,NO,,,,,,,,,4502817153,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/06/2024,"23,790.86",AUD,Oxford Recruitment Pty Ltd,606 Stanley Street Woolloongabba QLD 4102,YES,NO,,,,,,,,,4502807011,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/07/2024,"23,756.70",AUD,Specialist Electrical Solutions Pty,20 Miller Street Murarrie QLD 4172,NO,NO,,,,,,,,,4502823355,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,2/07/2024,"23,368.13",AUD,Western Downs Traffic Control,PO Box 157 Dalby QLD 4405,NO,NO,,,,,,,,,4502817505,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,21/11/2023,"23,302.36",AUD,Alstom Transport Australia Pty Ltd,16 Giffnock Avenue MacQuarie Park NSW 2113,YES,NO,,,,,,,,,4502734618,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,29/07/2024,"23,210.00",AUD,Top View Maintenance,170 Edgar Rd MIDGEE QLD 4702,NO,NO,,,,,,,,,4502823269,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,9/07/2024,"23,209.45",AUD,Western Downs Traffic Control,PO Box 157 Dalby QLD 4405,NO,NO,,,,,,,,,4502818396,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/05/2024,"23,182.40",AUD,Drivetrain Australia Pty Ltd,14 Elvin Street Paget QLD 4740,YES,NO,,,,,,,,,4502799983,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,10/07/2024,"23,113.20",AUD,Haymans Electrical,Cnr Musgrave & Miles Streets Rockhampton MC QLD 4700,NO,NO,,,,,,,,,4502818742,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUBSCRIPTIONS,8/07/2024,"23,100.00",AUD,Mitez Inc,6 The Strand Townsville QLD 4810,NO,NO,,,,,,,,,4502818300,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",25/07/2024,"22,880.00",AUD,Allroad Surfaces Pty Ltd,81 Dean Road Verrierdale QLD 4562,NO,NO,,,,,,,,,4502822754,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,8/07/2024,"22,825.00",AUD,Hyforce Engineering Pty Ltd,100 Pearson Road Yatala QLD 4130,NO,NO,,,,,,,,,4502818186,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,18/07/2024,"22,770.00",AUD,MacTrans Heavy Haulage Pty Ltd,144 Coulson Street Wacol QLD 4076,NO,NO,,,,,,,,,4502821926,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,22/07/2024,"22,737.00",AUD,Otto Housing and Commercial,66 Chapman Drive Wamuran QLD 4512,NO,NO,,,,,,,,,4502822357,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,22/07/2024,"22,737.00",AUD,Otto Housing and Commercial,66 Chapman Drive Wamuran QLD 4512,NO,NO,,,,,,,,,4502822332,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,11/07/2024,"22,670.12",AUD,RJ Earthworks Qld Pty Ltd,PO Box 443 Gatton QLD 4343,NO,NO,,,,,,,,,4502819070,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,3/07/2024,"22,264.26",AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,4502817635,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,9/07/2024,"22,231.00",AUD,Thompson's Grader Hire,PO Box 110 Inglewood QLD 4387,NO,NO,,,,,,,,,4502818367,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/07/2024,"22,000.00",AUD,Corporate Scorecard Pty Ltd,PO Box 709 North Sydney NSW 2060,NO,NO,,,,,,,,,4502818858,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4059",TC's - 2024 Social PinPoint,7/06/2024,"22,000.00",AUD,Social Pinpoint,119 Beaumont Street Hamilton QLD 2303,NO,NO,,,,,,,,,CW2318630,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,19/07/2024,"21,992.30",AUD,Atlas Rail Pty Ltd,153 Keys Road Moorabbin VIC 3189,NO,NO,,,,,,,,,4502822147,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,30/07/2024,"21,871.85",AUD,Bundy Diesel Specialists,PO Box 3098 Bundaberg QLD 4670,NO,NO,,,,,,,,,4502824915,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,16/07/2024,"21,752.50",AUD,Smart Engineering (QLD) Pty Ltd,101 Randolph Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502819681,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,9/07/2024,"21,710.28",AUD,Diverse Worx,PO Box 3050 South Brisbane QLD 4101,NO,NO,,,,,,,,,4502818346,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BOOKS MAPS PUBLICNS,1/07/2024,"21,276.75",AUD,Queensland Decal Pty Ltd,29 Collinsvale Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502817101,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,22/07/2024,"21,120.00",AUD,Queensland Decal Pty Ltd,29 Collinsvale Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502822234,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PROPERTY,17/07/2024,"21,083.32",AUD,Drycon Pty Ltd,7 Southgate Close Woree QLD 4869,NO,NO,,,,,,,,,4502819878,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/07/2024,"21,055.58",AUD,Transit Supplies,13/14 Polo Avenue Mona Vale NSW 2103,NO,NO,,,,,,,,,4502822133,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,29/07/2024,"21,054.00",AUD,Top View Maintenance,170 Edgar Rd MIDGEE QLD 4702,NO,NO,,,,,,,,,4502823278,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,29/07/2024,"21,016.82",AUD,Hastings Deering (Australia) Limite,and Kenny Street Cairns QLD 4870,NO,NO,,,,,,,,,4502823174,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,29/07/2024,"21,015.50",AUD,Hitachi Energy,PO Box 3433 Liverpool NSW 2170,NO,NO,,,,,,,,,4502823262,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,29/07/2024,"21,010.00",AUD,Top View Maintenance,170 Edgar Rd MIDGEE QLD 4702,NO,NO,,,,,,,,,4502823275,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,3/07/2024,"20,900.00",AUD,Danny Forbes Transport P/L,PO Box 1430 Roma QLD 4455,NO,NO,,,,,,,,,4502817751,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/07/2024,"20,668.12",AUD,Airefrig Australia Pty Ltd,75 Beechboro Road Bayswater WA 6053,NO,NO,,,,,,,,,4502817319,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,29/07/2024,"20,504.55",AUD,DJ's Electric Motor and Pump Centre,31 Briggs Road Ipswich QLD 4305,NO,NO,,,,,,,,,4502823312,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/07/2024,"20,165.38",AUD,Power Rail Australia P/L,12-16 Oxley Street Goulburn NSW 2580,NO,NO,,,,,,,,,4502818694,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,4/07/2024,"20,165.38",AUD,Power Rail Australia P/L,12-16 Oxley Street Goulburn NSW 2580,NO,NO,,,,,,,,,4502817926,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/07/2024,"20,075.99",AUD,Traffic Management Australia P/L,35/28 Burnside Road Ormeau QLD 4208,NO,NO,,,,,,,,,4502821360,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,30/07/2024,"20,027.87",AUD,MAK Diesel & Earthmoving,556A Ingham Road Mount Louisa QLD 4814,NO,NO,,,,,,,,,4502823376,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,3/07/2024,"19,998.00",AUD,The Haggarty Group QLD Pty Ltd,347-349 Brisbane Street West Ipswich QLD 4305,NO,NO,,,,,,,,,4502817575,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,23/07/2024,"19,900.00",AUD,Nykkos Earthworks,PO Box 736 Manunda Cairns QLD 4870,NO,NO,,,,,,,,,4502822469,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,11/07/2024,"19,836.36",AUD,RJ Earthworks Qld Pty Ltd,PO Box 443 Gatton QLD 4343,NO,NO,,,,,,,,,4502819066,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",26/07/2024,"19,800.00",AUD,Webforge Locker,2 Cojo Place Dandenong South VIC 3175,NO,NO,,,,,,,,,4502822967,,,,,
