Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,4/09/2023,"470,250.00",AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502707038,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2020 WOG GGS0060 TEMPORARY AND CONTRACTED WORKERS PREFERRED SUPPLIER PANEL (PSP) - TALENZA QLD PTY LTD,30/05/2020,"438,566.20",AUD,Talenza QLD Pty Ltd,6-10 OConnell Street Sydney NSW 2000,YES,NO,,,,,,,,,CW2310513,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 - CHANGE MANAGER,15/09/2023,"436,800.00",AUD,Omada Rail Pty Ltd,50 McDougall Street Milton QLD 4064,NO,NO,,,,,,,,,CW2309769,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 SENIOR CONCEPT ENGINEER - ANDREW ROWLANDS,1/09/2023,"367,920.00",AUD,JMDR Engineering Pty Ltd,51 Druitt Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2312094,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 BOGANTUNGAN ANGLE UPGRADE,8/09/2023,"348,640.01",AUD,Emerald Quarries,5 Kythera Road Emerald QLD 4720,NO,NO,,,,,,,,,CW2312096,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,8/09/2023,"348,480.00",AUD,AARNET Pty Ltd,3 Richardson North Ryde NSW 2113,NO,NO,,,,,,,,,4502708008,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 - EQUIPMENT HIRE PANEL - TYZAC VACUUM EXCAVATION,22/06/2018,"319,000.00",AUD,Tyzac Vaccum Excavation,PO Box 241 Beerwah QLD 4519,YES,NO,OPEN,,,,,,,,CW2306919,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 WHITE RIBBON TRAINING_SPECIALIST POLICY REVIEW,29/09/2021,"285,525.00",AUD,Challenge DV,1 Eagle St Brisbane QLD 4000,YES,NO,,,,,,,,,CW2295023,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,8/09/2023,"215,803.50",AUD,AARNET Pty Ltd,3 Richardson North Ryde NSW 2113,NO,NO,,,,,,,,,4502708010,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,12/09/2023,"211,488.16",AUD,Electrical Workshop Australia Pty L,10 Barnett Place Molendinar QLD 4214,NO,NO,,,,,,,,,4502708548,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEHICLE COMPONENTS,15/09/2023,"208,408.94",AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,4502709181,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PROPERTY,25/09/2023,"205,939.25",AUD,Atco Structures,55 Tonka Street Luscombe QLD 4211,NO,NO,,,,,,,,,4502712344,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",DESKTOP SOFTWARE,26/09/2023,"197,481.49",AUD,Onset Design Pty Ltd,203-205 Blackburn Road Mount Waverley VIC 3149,NO,NO,,,,,,,,,4502712566,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 - GRACEVILLE STATION PLATFORMS 3 AND 4 - DESIGN CONSULTANCY,8/09/2023,"195,541.40",AUD,PDT Architects,345 Queen Street Brisbanel QLD 4000,NO,NO,,,,,,,,,CW2310341,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,29/03/2023,"187,000.00",AUD,UGL Rail,80 Dorcas Street Melbourne VIC 3205,YES,NO,,,,,,,,,4502643881,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 DIAGNOSTIC AND BENCHMARKING ANALYSIS (SOA QGP0050-18 T3),18/07/2023,"185,000.00",AUD,PricewaterhouseCoopers Consulting,480 Queen Street Brisbane QLD 4000,YES,NO,,,,,,,,,CW2310537,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2023 DIGITAL DELIVERY PANEL (ICT) - DELOITTE,26/07/2023,"182,001.00",AUD,Deloitte Consulting Pty Ltd,225 Level 9 George Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2308299,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,11/09/2023,"180,092.55",AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,4502708261,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,4/09/2023,"166,488.74",AUD,Jade Engineering Qld Pty Ltd,PO Box 8177 Wooloongabba QLD 4102,NO,NO,,,,,,,,,4502707265,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 EXECUTIVE SOURCING PARTNER CONSULTANCY,20/02/2023,"165,000.00",AUD,Davidson Executive and Boards Pty L,GPO Box 2572 Brisbane QLD 4001,YES,NO,,,,,,,,,CW2306540,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/09/2023,"165,000.00",AUD,Interface Rail Engineering Pty Ltd,470 Collins Street Melbourne VIC 3000,NO,NO,,,,,,,,,4502708069,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TCS - 2023 LICENSING AGREEMENT FOR AUSTRALIAN STANDARDS ONLINE,29/09/2023,"162,776.40",AUD,SAI Global Australia Pty Ltd,680 Level 37 George Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2313138,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/08/2023,"150,192.10",AUD,Fluid Precision Pty Ltd,85 Kabi Circuit Deception Bay QLD 4508,YES,NO,,,,,,,,,4502706543,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 AD PACK - SEPT 2023,8/09/2023,"150,000.00",AUD,Seek Ltd,GPO Box 2335 Sydney NSW 2001,NO,NO,,,,,,,,,CW2312674,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,4/09/2023,"146,740.00",AUD,Aries Rail Pty Ltd,86 Inspiration Drive Wangara WA 6065,NO,NO,,,,,,,,,4502707242,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",14/09/2023,"142,573.20",AUD,Pioneer North,PO Box 6155 Woree QLD 4870,NO,NO,,,,,,,,,4502708898,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,22/09/2023,"131,670.00",AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502710087,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,18/09/2023,"127,441.08",AUD,Ingenious Engineering,21-29 Pakenham Road Greenbank QLD 4124,NO,NO,,,,,,,,,4502709240,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,7/09/2023,"121,000.00",AUD,U&U Pty Ltd,259 Queen Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502707791,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,5/09/2023,"120,945.00",AUD,Blacktop Asphalt Repairs,27 Third Avenue Barellan Point QLD 4306,NO,NO,,,,,,,,,4502707351,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 RECRUITER LICENSES,27/09/2023,"117,100.00",AUD,Linkedin Singapore Pte Ltd,1 Martin Place Sydney NSW 2000,NO,NO,,,,,,,,,CW2313147,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,13/09/2023,"113,695.63",AUD,HI Fraser Pty Ltd,27a Stockdale Road O'Connor WA 6163,NO,NO,,,,,,,,,4502708631,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/09/2023,"113,091.00",AUD,Fantech Pty Ltd,45 Nestor Drive Meadowbrook QLD 4131,NO,NO,,,,,,,,,4502712847,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN DEL,10/07/2023,"110,168.55",AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,YES,NO,,,,,,,,,4502685232,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,28/09/2023,"109,769.00",AUD,Place Design Group Pty Ltd,GPO Box 775 Brisbane QLD 4001,NO,NO,,,,,,,,,4502712832,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",6/09/2023,"106,920.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502707555,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,18/09/2023,"104,720.00",AUD,Eaton Electrical Australia Pty Ltd,10 Kent Road Mascot NSW 2020,NO,NO,,,,,,,,,4502709255,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,31/07/2023,"104,500.00",AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,YES,NO,,,,,,,,,4502695245,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,6/09/2023,"104,002.88",AUD,Elders Rural Services Australia P/L,PO Box 5598 Alexandra QLD 4740,NO,NO,,,,,,,,,4502707498,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TC'S - 2023 DEPUTY SIMPLE ROSTERING SUBSCRIPTION,1/09/2023,"100,000.00",AUD,Deputec Pty Ltd,177 Botany Road Waterloo NSW 2017,NO,NO,,,,,,,,,CW2309432,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSULTANTS,20/09/2023,"99,000.00",AUD,Wood Research and Development,49-53 Kabi Circuit Deception Bay QLD 4508,NO,NO,,,,,,,,,4502709792,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,14/09/2023,"96,875.35",AUD,Sekuro Operatons Pty Ltd,126 Phillip Street Sydney NSW 2000,NO,NO,,,,,,,,,4502709006,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRONIC COMPONENT,18/09/2023,"95,401.90",AUD,Position Partners Pty Ltd,PO Box 343 Acacia Ridge QLD 4110,NO,NO,,,,,,,,,4502709293,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",6/09/2023,"94,576.63",AUD,Pioneer North,PO Box 6155 Woree QLD 4870,NO,NO,,,,,,,,,4502707500,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,21/09/2023,"92,917.00",AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502709921,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",12/09/2023,"92,247.94",AUD,Bremer Ford,34 Brisbane Road Ebbw Vale QLD 4304,NO,NO,,,,,,,,,4502708545,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/09/2023,"88,000.00",AUD,Rail Industry Safety & Standards,Terminal Complex Canberra Airport ACT 2604,NO,NO,,,,,,,,,4502710023,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/10/2022,"88,000.00",AUD,UGL Rail,80 Dorcas Street Melbourne VIC 3205,YES,NO,,,,,,,,,4502587155,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 WHISTLEBLOWER HOTLINE SERVICE,5/10/2018,"86,800.00",AUD,StopLine Pty Ltd,345 Riversdale Road Hawthorn East VIC 3123,YES,NO,,,,,,,,,CW2267506,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,1/09/2023,"81,697.00",AUD,Advanced Temporary Fencing Pty Ltd,PO Box 699 Yatala QLD 4207,NO,NO,,,,,,,,,4502706850,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE PROTECTION,26/09/2023,"77,269.50",AUD,FVS Fire Pty Ltd,69 Commercial Drive Shailer Park QLD 4128,NO,NO,,,,,,,,,4502712567,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,4/09/2023,"74,030.00",AUD,UGL Engineering Pty Ltd,49 Borthwick Avenue Murarrie QLD 4172,NO,NO,,,,,,,,,4502707191,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/08/2023,"73,201.30",AUD,SMC Corporation (Australia) Pty Ltd,17 Shannon Place Virginia QLD 4014,YES,NO,,,,,,,,,4502698360,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,29/09/2023,"73,035.60",AUD,Machinery Inspection Services,134 Peel Road Ningi QLD 4511,NO,NO,,,,,,,,,4502718016,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",13/09/2023,"69,300.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502708818,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,8/09/2023,"68,068.00",AUD,Atco Structures,55 Tonka Street Luscombe QLD 4211,NO,NO,,,,,,,,,4502707990,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,21/09/2023,"67,515.76",AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4050478153,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,1/09/2023,"66,000.00",AUD,Robert Walters Pty Ltd,Queen & Collins Tower Melbourne VIC 3000,NO,NO,,,,,,,,,4502706982,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,21/09/2023,"64,026.71",AUD,PCA Ground Engineering,6 Harrington Street Arundel QLD 4214,NO,NO,,,,,,,,,4502710027,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 BUILDING LIFECYCLE CONDITION AUDIT - CORPORATE SITES,28/09/2023,"63,650.00",AUD,PLE Technical Property Consultants,131 Wickham Terrace Mt Ommaney QLD 4004,NO,NO,,,,,,,,,CW2309861,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,6/09/2023,"62,117.00",AUD,Alstom Transport Australia Pty Ltd,16 Giffnock Avenue MacQuarie Park NSW 2113,NO,NO,,,,,,,,,4502707649,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL FABR MATLS,4/09/2023,"55,678.92",AUD,Worthington Rail Pty Ltd,15 Enterprise Way Bayswater North VIC 3153,NO,NO,,,,,,,,,4502707280,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,1/09/2023,"55,643.50",AUD,LP Pipe & Civil (QLD ) Pty Ltd,31 Ford Road Coomera QLD 4209,NO,NO,,,,,,,,,4502706974,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,21/09/2023,"51,664.80",AUD,J C & J R McGrath Pty Ltd,226 Borg Road Alligator Creek Mackay QLD 4741,NO,NO,,,,,,,,,4502709926,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL FABR MATLS,27/09/2023,"50,987.20",AUD,SafeSmart Access,PO Box 313 Ermington NSW 1700,NO,NO,,,,,,,,,4502712776,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PREFAB STRUCT SCAFF,15/09/2023,"47,557.00",AUD,Benchmark Scaffolding & Edge Protec,8-12 Webb Drive Mount St John QLD 4818,NO,NO,,,,,,,,,4502709154,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,17/07/2023,"47,036.00",AUD,Inver Engineering Pty Ltd,31-35 Drake Boulevard Altona VIC 3018,YES,NO,,,,,,,,,4502688270,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,1/09/2023,"46,200.00",AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,4502706875,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,19/09/2023,"44,880.00",AUD,QUT Accounts Receivable,88 Musk Avenue  Level 2 Kelvin Grove QLD 4059,NO,NO,,,,,,,,,4502709589,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,5/09/2023,"43,621.97",AUD,Benchmark Scaffolding & Edge Protec,8-12 Webb Drive Mount St John QLD 4818,NO,NO,,,,,,,,,4502707345,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 - ROCKHAMPTON RAIL YARD - BASELINE ASSESSMENT OF CONTAMINATION,28/08/2023,"42,570.00",AUD,JK Environments Pty Ltd,800-812 OLD MENAI ROAD Menai NSW 2234,NO,NO,,,,,,,,,CW2312130,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/09/2023,"41,350.54",AUD,Airefrig Australia Pty Ltd,75 Beechboro Road Bayswater WA 6053,NO,NO,,,,,,,,,4502706977,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,6/09/2023,"40,399.70",AUD,TFH Hire Services Pty Ltd,14 Eurora Street Kingston QLD 4114,NO,NO,,,,,,,,,4502707607,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,20/09/2023,"40,150.00",AUD,Danny Forbes Transport P/L,PO Box 1430 Roma QLD 4455,NO,NO,,,,,,,,,4502709743,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/09/2023,"39,468.00",AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,,,,,,,,,4502712945,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,5/09/2023,"38,780.76",AUD,Benchmark Scaffolding & Edge Protec,8-12 Webb Drive Mount St John QLD 4818,NO,NO,,,,,,,,,4502707307,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,6/09/2023,"38,758.50",AUD,Kalinda IT Pty Ltd,"Level 12, 88 Phillip Street Sydney NSW 2000",NO,NO,,,,,,,,,4502707501,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,18/09/2023,"38,702.29",AUD,J Blackwood & Son Ltd,PO Box 277 Maryborough QLD 4650,NO,NO,,,,,,,,,4050477889,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE SAF & ENV EQUIP,13/09/2023,"36,863.20",AUD,Fallshaw Wheels and Castors,PO Box 125 Sunshine VIC 3020,NO,NO,,,,,,,,,4502708819,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,21/09/2023,"36,801.69",AUD,JAC Civil Pty Ltd,208 Lennox Street Maryborough QLD 4650,NO,NO,,,,,,,,,4502709881,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,14/09/2023,"35,359.16",AUD,Downer EDI Rail,71B Elizabeth Street Wetherill Park NSW 2164,NO,NO,,,,,,,,,4502709044,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/09/2023,"35,350.70",AUD,Wulguru Steel Pty Ltd,PO Box 2144 Wulguru QLD 4811,NO,NO,,,,,,,,,4502707598,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,12/09/2023,"34,174.67",AUD,A2O Traffic Solutions,PO Box 747 Deeragun QLD 4818,NO,NO,,,,,,,,,4502708590,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,12/09/2023,"33,578.81",AUD,Altus Traffic Pty Ltd,600 Lorimer Street Port Melbourne VIC 3207,NO,NO,,,,,,,,,4502708508,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,8/09/2023,"33,000.00",AUD,SRG Global Asset Care Pty Ltd,500 Hay Street Subiaco WA 6008,NO,NO,,,,,,,,,4502708034,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,21/09/2023,"33,000.00",AUD,J C & J R McGrath Pty Ltd,226 Borg Road Alligator Creek Mackay QLD 4741,NO,NO,,,,,,,,,4502709875,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONTRACT,6/09/2023,"32,724.45",AUD,GRASP Electrical,20 Watts Road Gracemere QLD 4702,NO,NO,,,,,,,,,4502707660,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL FABR MATLS,11/09/2023,"32,670.00",AUD,Svenska Kj,D303/ 780 Bourke Street Redfern QLD 2016,NO,NO,,,,,,,,,4502708358,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",18/09/2023,"31,240.00",AUD,Quarry Products Pty Ltd,PO Box 50 Harlaxton QLD 4350,NO,NO,,,,,,,,,4502709299,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FURNITURE,14/09/2023,"31,130.00",AUD,Empire Office Furniture,51-63 Heaton Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502708928,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,12/09/2023,"30,758.90",AUD,Elite Bitumen & Asphalt No. 1 P/L,221 Barrow Hill Road Habana QLD 4740,NO,NO,,,,,,,,,4502708584,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,24/09/2023,"30,603.49",AUD,Plasser Australia Pty Ltd   St Mary,2 Plasser Cresent St Marys NSW 2760,NO,NO,,,,,,,,,4502710203,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,26/09/2023,"30,139.97",AUD,Penske Australia Pty Ltd,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,4502712485,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/09/2023,"29,756.41",AUD,A2O Traffic Solutions,PO Box 747 Deeragun QLD 4818,NO,NO,,,,,,,,,4502708024,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,1/09/2023,"28,875.00",AUD,Circuitlink Pty Ltd,30 Foundry Road Seven Hills NSW 2147,NO,NO,,,,,,,,,4502706993,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,3/09/2023,"28,823.74",AUD,B & S Hydraulics Pty Ltd,PO Box 176 Virginia QLD 4014,NO,NO,,,,,,,,,4502707012,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONTRACT,7/09/2023,"28,080.80",AUD,GRASP Electrical,20 Watts Road Gracemere QLD 4702,NO,NO,,,,,,,,,4502707902,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONTRACT,7/09/2023,"27,997.75",AUD,GRASP Electrical,20 Watts Road Gracemere QLD 4702,NO,NO,,,,,,,,,4502707867,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,24/07/2023,"27,500.00",AUD,Wurth Australia Ltd,2/1 Healy Road Dandenong South VIC 3175,YES,NO,,,,,,,,,4502689425,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR & EXCAV EQUIP,22/09/2023,"27,396.60",AUD,Georges Loader Hire Pty Ltd,262 Bowhill Road Willawong QLD 4110,NO,NO,,,,,,,,,4502710167,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/09/2023,"27,390.00",AUD,IECS Pty Ltd,199 Mains Road Sunny Bank QLD 4109,NO,NO,,,,,,,,,4502708277,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,14/09/2023,"27,157.90",AUD,Plasser Australia Pty Ltd   St Mary,2 Plasser Cresent St Marys NSW 2760,NO,NO,,,,,,,,,4502709039,,,,,
