Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",12/08/2020,53613.296,AUD,Pioneer North,PO Box 6155 Woree QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,22/09/2020,52800,AUD,Komatsu Forklift,PO Box 226 Sumner Park QLD 4074,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,4/09/2020,51934.3,AUD,Incorporate Space,96 Gardens Drive Willawong QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PLUMBING HEAT EQUIP,2/09/2020,51887,AUD,EKV Plumbing Pty Ltd,PO Box 8189 Wynnum QLD 4178,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",17/07/2020,51554.404,AUD,Brisbane Isuzu,PO Box 1141 Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",17/07/2020,51554.404,AUD,Brisbane Isuzu,PO Box 1141 Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,4/04/2019,50000,AUD,Horrigan Kamitsis Valuers Pty Ltd,220 Boundary Street Spring Hill QLD 4000,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/09/2020,46091.1,AUD,Comrail Pty Ltd,6 Arvida Street Malaga WA 6090,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,13/08/2020,43727.2,AUD,Watkins Steel Pty Ltd,106 Depot Street Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRONIC COMPONENT,31/08/2020,43420.058,AUD,RS Components Pty Limited,25 Pavesi Street Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN DEL,17/06/2020,43121.1,AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,13/08/2020,43084.492,AUD,Generator Hire Services,18 Bivouac Place Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",3/09/2020,42686.941,AUD,Holcim (Australia) Pty Ltd,PO Box 1143 Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",29/07/2020,42380.008,AUD,EMC Electric Vehicles,11 Bowen Crescent West Gosford NSW 2250,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",17/09/2020,41619.93,AUD,Brisbane Isuzu,PO Box 1141 Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,16/07/2020,41386.202,AUD,JWB Construction Pty Ltd,26 BLUE EAGLE DRIVE MEADOWBROOK QLD 4131,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,16/09/2020,40480,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/08/2020,40397.049,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,19/08/2020,39997.573,AUD,Dotmar Engineering,PO Box 79 Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRONIC COMPONENT,4/09/2020,39535.1,AUD,CSE-Uniserve Pty Ltd,PO Box 6166 Northwest NSW 2153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/07/2020,39405.344,AUD,Cashcor Engineering Pty Ltd,20-24 Knight Street Portsmith Cairns QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/05/2020,38138.936,AUD,SMC Corporation (Australia) Pty Ltd,17 Shannon Place Virginia QLD 4014,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,4/08/2020,37343.482,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/09/2020,37290,AUD,Vossloh Cogifer Australia Pty Ltd,PO Box 1248 Castlemaine VIC 3450,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,17/09/2020,35200,AUD,Humes,59 Sugarmill Road Pinkenba QLD 4008,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/09/2020,33960.465,AUD,Thew & McCann Pty Ltd,PO Box 1796 Cleveland QLD 4163,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/09/2020,33960.465,AUD,Thew & McCann Pty Ltd,PO Box 1796 Cleveland QLD 4163,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,13/07/2010,33901.29,AUD,Coinco Promotions Pty Ltd,92 Kalang Road Kiama Heights NSW 2533,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,16/07/2020,33818.576,AUD,Traffic Control Supplies Pty Ltd,59 Moreton Street Heathwood QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,4/09/2020,33716.98,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN KSR,24/09/2020,33550,AUD,Hanby Welding & Engineering Pty Ltd,PO Box 401 Portsmith QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/09/2020,32992.3,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/09/2020,32340,AUD,UES (INTL) Pty Ltd,36 Pritchard Road Virginia QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/08/2020,31300.5,AUD,Sound Control,Corner Fulcrum and Bandara Street Richlands QLD 4077,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,19/08/2020,31046.334,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PROPERTY,29/06/2020,30462.674,AUD,Brisbane Airport Corporation Limite,PO Box 61 Hamilton Central QLD 4007,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,11/09/2020,30400,AUD,Korn Ferry International Pty Ltd,88 Phillip Street Sydney NSW 2000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,2/06/2020,30353.4,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,17/09/2020,30056.4,AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL CRUDE MATLS,16/09/2020,29717.688,AUD,Wagners Quarries Pty Ltd,PO Box 151 Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL CRUDE MATLS,16/09/2020,29568,AUD,Wagners Quarries Pty Ltd,PO Box 151 Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,7/07/2020,29390.625,AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,1/09/2020,29337,AUD,CSE-Uniserve Pty Ltd,PO Box 6166 Northwest NSW 2153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,4/09/2020,29040,AUD,Oxford Recruitment Pty Ltd,606 Stanley Street Woolloongabba QLD 4102,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,4/09/2020,28843.76,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,7/09/2020,28215,AUD,Australian Election Company,PO Box 3056 Caboolture QLD 4510,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PLUMBING HEAT EQUIP,1/09/2020,27527.5,AUD,Electrical Workshop Australia Pty L,10 Barnett Place Molendinar QLD 4214,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,3/09/2020,27459.3,AUD,Incorporate Space,96 Gardens Drive Willawong QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/09/2020,27390,AUD,Vossloh Cogifer Australia Pty Ltd,PO Box 1248 Castlemaine VIC 3450,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",REFRIG & A/C EQUIP,24/09/2020,27379,AUD,Honeywell Limited,19 Corporate Drive Cannon Hill QLD 4170,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/09/2020,27170,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,10/09/2020,27082,AUD,Rail Systems Australia,PO Box 7063 Cloisters Square PO WA 6850,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,11/09/2020,26851,AUD,Omnitronics Pty Ltd,27 Sarich Court Osborne Park WA 6017,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/07/2020,26822.906,AUD,Austbreck Pty Ltd,36 Westpool Drive Hallam VIC 3803,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR & EXCAV EQUIP,1/09/2020,26709.21,AUD,Delkor Rail Pty Ltd,PO Box CP217 Condell Park NSW 2200,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR & EXCAV EQUIP,24/09/2020,26709.21,AUD,Delkor Rail Pty Ltd,PO Box CP217 Condell Park NSW 2200,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,23/09/2020,26620,AUD,ACOR Consultants Pty Ltd,PO Box 3635 South Brisbane QLD 4101,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/09/2020,26459.4,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/09/2020,26400,AUD,Westray Engineering,PO Box 2222 Caringbah NSW 2229,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,20/08/2020,25664.1,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/09/2020,25626.7,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/09/2020,25382.5,AUD,D & D Peckett Contracting,11 Goldston Street Alpha QLD 4724,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,14/09/2020,25300,AUD,MacTrans Heavy Haulage Pty Ltd,144 Coulson Street Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",25/09/2020,25080,AUD,Ultimate Australia Transportation,23 Carl Court Hallam VIC 3803,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",18/08/2020,24651.385,AUD,Colas Queensland Pty Ltd TA,PO Box 1481 Dundowran QLD 4655,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/09/2020,24633.4,AUD,Pandrol Australia Pty Ltd,7 Bessemer Street Blacktown NSW 2148,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FREIGHT & CARTAGE,17/08/2020,24542.1,AUD,Moore Civil and Plant Hire Pty Ltd,PO Box 333 Longreach QLD 4730,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPERATIONS TRAVELTRA,20/08/2020,24480.841,AUD,Tex@Site Pty Ltd,28 Corporate Blvd Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,10/09/2020,23964.38,AUD,Plasser Australia Pty Ltd   St Mary,2 Plasser Cresent St Marys NSW 2760,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,25/09/2020,23786.631,AUD,Cummins South Pacific Pty Ltd,39-53 Ron Boyle Crescent Carole Park QLD 4300,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,2/09/2020,23670.108,AUD,Battery Energy Power Solutions,96 Fairfield Street Fairfield NSW 2165,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,11/09/2020,23650,AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/09/2020,23650,AUD,Westray Engineering,PO Box 2222 Caringbah NSW 2229,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",18/09/2020,23227.6,AUD,Direct Steel Supplies,PO Box 425 Ipswich QLD 4305,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,18/09/2020,23107.7,AUD,Universal Cranes,3-9 Horwood Street Currajong QLD 4812,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,5/08/2020,23094.192,AUD,Keypower Diesel & Marine,PO Box 471 Garbutt QLD 4814,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,6/08/2020,22589.732,AUD,Security & Technology Services SQ,1631 Wynnum Road Tingalpa QLD 4173,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,11/09/2020,22550,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,19/08/2020,22388.168,AUD,Geofabrics Australasia Pty Ltd,PO Box 684 Sumner Park QLD 4074,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE SAF & ENV EQUIP,16/09/2020,22225.5,AUD,Fire Services Queensland Pty Ltd,1/20 Valente Close Chermside QLD 4032,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,7/09/2020,22035.2,AUD,Ulex Constructions Pty Ltd,PO Box 1129 Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/09/2020,22033,AUD,Industrial Hydraulics Pty Ltd,121 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/09/2020,22033,AUD,Industrial Hydraulics Pty Ltd,121 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROMOTIONAL MATERIAL,4/02/2016,21870,AUD,Reef Corporate & Promotional,PO Box 12471 CDC Cairns QLD 4870,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/07/2020,21797.743,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,9/07/2020,21758.484,AUD,J & P Richardson,114 Campbell Avenue Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,26/08/2020,21735.978,AUD,Springmount Services Pty Ltd,PO Box 1853 Springwood QLD 4127,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,12/08/2020,21485.123,AUD,Drivetrain Australia Pty Ltd,135 Pilbara Street Welshpool WA 6106,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/09/2020,21422.5,AUD,Greg Sewell Forgings Pty Ltd,PO Box 199 Campbellfield VIC 3061,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN DEL,1/06/2020,21212.169,AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MATS HANDL EQUIP,10/09/2020,21094.7,AUD,Royal Wolf Trading,PO Box 161 Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/09/2020,20796.6,AUD,Schneider Electric (Australia),78 Waterloo Road MacQuarie Park NSW 2113,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,7/09/2020,20630.401,AUD,Spinifex IT,88 Ricketts Road Mount Waverley VIC 3149,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,28/09/2020,20570,AUD,SLR Consulting Australia Pty Ltd,2 Lincoln Street Lane Cove NSW 2066,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,21/09/2020,20542.5,AUD,Allroad Surfaces Pty Ltd,81 Dean Road Verrierdale QLD 4562,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/08/2020,20521.369,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BOOKS MAPS PUBLICNS,9/09/2020,20508.4,AUD,Queensland Decal Pty Ltd,36 Benronald Street Seventeen Mile Rocks QLD 4073,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/09/2020,20477.6,AUD,Voestalpine Railway Systems,PO Box 391 Mackay QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/09/2020,20336.8,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,1/09/2020,20265.85,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/07/2020,20156.4,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,25/09/2020,20089.3,AUD,Cummins South Pacific Pty Ltd,39-53 Ron Boyle Crescent Carole Park QLD 4300,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/09/2020,19866,AUD,Delkor Rail Pty Ltd,PO Box CP217 Condell Park NSW 2200,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,23/09/2020,19833.55,AUD,Niche Environment & Heritage Pty Lt,PO Box W36 Parramatta NSW 2150,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,25/09/2020,19743.9,AUD,Tait Electronics (Aust) Pty Ltd,"level 1, Suite 17, 13A Narabang Way Belrose NSW 2085",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,30/07/2020,19731.272,AUD,Electrical Workshop Australia Pty L,10 Barnett Place Molendinar QLD 4214,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",21/09/2020,19696.248,AUD,Colas Queensland Pty Ltd TA,PO Box 1481 Dundowran QLD 4655,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,2/09/2020,19669.331,AUD,Ensbey Electrical,100 Bisley Street Warwick QLD 4370,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/07/2020,19608.215,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/09/2020,19520.952,AUD,Jade Engineering Qld Pty Ltd,29 Buchanan Road Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
